Country,Active Military Personnel
China,"2,000,000"
India,"1,450,000"
United States,"1,390,000"
North Korea,"1,200,000"
Russia,"850,000"
Pakistan,"640,000"
Iran,"575,000"
South Korea,"555,000"
Vietnam,"470,000"
Egypt,"450,000"
Turkey,"425,000"
Myanmar,"400,000"
Indonesia,"400,000"
Brazil,"360,000"
Thailand,"350,000"
Colombia,"295,000"
Sri Lanka,"250,000"
Mexico,"250,000"
Japan,"240,000"
Saudi Arabia,"225,000"
France,"205,000"
United Kingdom,"194,000"
Ukraine,"200,000"
Morocco,"200,000"
Iraq,"200,000"